电影名称,总票房,类型
金珠玛米,193,剧情
冯梦龙传奇,191,传记
女人永远是对的,184,爱情
坑爹游戏,179,喜剧
画室惊魂,155,惊悚
诡眼,153,惊悚
血伞凶灵,149,惊悚
功夫小兔侠,147,动画
内心引力,142,纪录片
领袖1935,132,战争
我是谁的宝贝,130,剧情
怨灵宿舍之人偶老师,121,惊悚
诡井,104,惊悚
咖啡风暴,101,剧情
你往哪里跑,100,喜剧
谜域之噬魂岭,91,惊悚
惊魂七夜,85,惊悚
斗魂之熊孩子,83,儿童
党员登记表,80,剧情
惊悚小说,60,惊悚
夜闯寡妇村,58,惊悚
南哥,55,剧情
识色，幸也,49,爱情
我只认识你,49,纪录片
灿烂这一刻,44,剧情
大脚印,42,惊悚
童话先生,37,爱情
情比山高,35,剧情
北纬二十八度,34,爱情
猪太狼的夏天,33,喜剧
旋风女队,31,剧情
悔恨,30,爱情
热血时代,23,剧情
咸鱼传奇,17,喜剧
侗族大歌,17,爱情
爱情邮局,16,爱情
了不起的小家伙们,13,儿童
十三根金条,13,战争
逃离现场,13,惊悚
宝贝，再爱我一次,13,剧情
玩命大师,12,喜剧
蜜橘又红了,12,剧情
星期8,10,奇幻
大爱无言,10,剧情
迷情N小时,8,爱情
墨玉太极,6,惊悚
我的老兵爷爷,5,剧情
远亲,4,剧情
红剪花,3,剧情
紫薇飘香,2,剧情
镜头前的女人,2,爱情
水晶争夺战,2,喜剧
花鼓情,1,爱情
海阔天空,1,剧情
哈啰义乌,1,剧情
刺客2,0,动作
美人鱼,339211,爱情
西游记之孙悟空三打白骨精,120101,奇幻
湄公河行动,118818,动作
长城,117457,奇幻
澳门风云3,111821,喜剧
盗墓笔记,100453,悬疑
功夫熊猫3,100200,动画
绝地逃亡,88950,动作
从你的全世界路过,81423,爱情
北京遇上西雅图之不二情书,78680,爱情
叶问3,77031,动作
铁道飞虎,69985,动作
寒战2,67826,动作
情圣,65886,爱情
使徒行者,60631,动作
大鱼海棠,56533,动画
我不是潘金莲,48373,剧情
摆渡人,48297,喜剧
爵迹,38291,奇幻
火锅英雄,37054,剧情
大话西游3,36605,奇幻
致青春·原来你还在这里,33686,爱情
我的特工爷爷,32445,动作
熊出没之熊心归来,28775,动画
封神传奇,28397,动作
微微一笑很倾城,27585,爱情
王牌逗王牌,26034,喜剧
卧虎藏龙：青冥宝剑,25625,动作
赏金猎人,21351,动作
反贪风暴2,20909,动作
陆垚知马俐,19212,喜剧
谁的青春不迷茫,17991,爱情
最后的巫师猎人,17989,动作
驴得水,17306,剧情
危城,16739,动作
七月与安生,16695,爱情
比利·林恩的中场战事,16518,战争
夏有乔木 雅望天堂,15641,爱情
追凶者也,13590,剧情
高跟鞋先生,12996,爱情
28岁未成年,12937,爱情
睡在我上铺的兄弟,12782,爱情
极限挑战之皇家宝藏,12551,喜剧
罗曼蒂克消亡史,12297,剧情
三少爷的剑,10075,动作
三人行,10054,动作
新大头儿子和小头爸爸2一日成才,9058,动画
魔宫魅影,8844,爱情
百鸟朝凤,8695,剧情
所以……和黑粉结婚了,8118,爱情
梦想合伙人,8101,爱情
小门神,7868,动画
惊天大逆转,7866,悬疑
捉迷藏,7146,惊悚
我们诞生在中国,6665,纪录片
神秘世界历险记3,6550,动画
消失爱人,6448,爱情
女汉子真爱公式,6338,爱情
超级快递,6195,喜剧
外公芳龄38,6042,喜剧
快手枪手快枪手,5414,动作
过年好,5405,喜剧
奔爱,4752,爱情
我们的十年,4409,爱情
冰河追凶,4321,悬疑
真相禁区,4204,悬疑
摇滚藏獒,3965,动画
我最好朋友的婚礼,3745,爱情
那件疯狂的小事叫爱情,3659,爱情
我的战争,3648,战争
天亮之前,3640,爱情
冲天火,3617,动作
蒸发太平洋,3505,悬疑
那年夏天你去了哪里,3469,悬疑
年兽大作战,3451,动画
